author,title
"Hiltzik, Michael A.",Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age
"Hoffman, David E. *",The Dead Hand: The Untold Story of the Cold War Arms Race and its Dangerous Legacy
"Honeyman, Gail",Eleanor Oliphant Is Completely Fine
"Hosseini, Khaled *",A Thousand Splendid Suns
"Hosseini, Khaled *",The Kite Runner
"Hosseini, Khaled *",And the Mountains Echoed
"Isaacson, Walter *",Einstein: His Life and Universe
"Isaacson, Walter *",Steve Jobs
"Isaacson, Walter *","The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution"
"Isaacson, Walter *",Leonardo da Vinci
"Isaacson, Walter *","The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race"
"Ishiguro, Kazuo *",Never Let Me Go
"James, E.L. *","Fifty Shades of Grey (Fifty Shades, #1)"
"James, E.L. *","Fifty Shades Darker (Fifty Shades, #2)"
"James, E.L. *","Fifty Shades Freed (Fifty Shades, #3)"
"James, E.L. *",Fifty Shades Trilogy: Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed
"Jay, Meg",The Defining Decade: Why Your Twenties Matter - And How to Make the Most of Them Now
"Kahneman, Daniel","Thinking, Fast and Slow"
"Kahney, Leander",Jony Ive: The Genius Behind Apple's Greatest Products
"Kalanithi, Paul",When Breath Becomes Air
"Kawasaki, Guy *","Enchantment: The Art of Changing Hearts, Minds, and Actions"
"Kiyosaki, Robert T.","Rich Dad, Poor Dad"
"Klaff, Oren *","Pitch Anything: An Innovative Method for Presenting, Persuading, and Winning the Deal"
"Laney, Marti Olsen",The Introvert Advantage: How to Thrive in an Extrovert World
"Lappé, Frances Moore",Hope's Edge: The Next Diet for a Small Planet
"Lee, Harper",To Kill a Mockingbird
"Leonard, George",Mastery: The Keys to Success and Long-Term Fulfillment
"Leu, Lucy","Nonviolent Communication Companion Workbook: A Practical Guide for Individual, Group, or Classroom Study"
"Levy, Steven *",Hackers: Heroes of the Computer Revolution
"Levy, Steven *","In the Plex: How Google Thinks, Works, and Shapes Our Lives"
"Lewis, Marc",Memoirs of an Addicted Brain: A Neuroscientist Examines his Former Life on Drugs
"Logan, Dave *",Tribal Leadership: Leveraging Natural Groups to Build a Thriving Organization
"Lundin, Stephen C.",Fish!: A Remarkable Way to Boost Morale and Improve Results
"Lyubomirsky, Sonja",The How of Happiness: A Scientific Approach to Getting the Life You Want
"Malone, Michael S.","The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company"
"Mandela, Nelson",Long Walk to Freedom
Marcus Aurelius,Meditations
"Markel, Howard","An Anatomy of Addiction: Sigmund Freud, William Halsted, and the Miracle Drug Cocaine"
"Martel, Yann",Life of Pi
"Martin, George R.R.","A Feast for Crows (A Song of Ice and Fire, #4)"
"Martin, George R.R.","A Storm of Swords (A Song of Ice and Fire, #3)"
"Martin, George R.R.","A Game of Thrones (A Song of Ice and Fire, #1)"
"Martin, George R.R.","A Clash of Kings (A Song of Ice and Fire, #2)"
"Maté, Gabor",When the Body Says No: The Cost of Hidden Stress
"Maté, Gabor",In the Realm of Hungry Ghosts: Close Encounters with Addiction
"McGuire, Jamie *","Beautiful Disaster (Beautiful, #1)"
"Metz, Cade","Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World"
"Miller, Alice",The Drama of the Gifted Child: The Search for the True Self
"Miller, Madeline *",The Song of Achilles
"Mitchell, Margaret",Gone with the Wind
Mooji *,"Vaster Than Sky, Greater Than Space: What You Are Before You Became"
"Morell, Sally Fallon",Nourishing Traditions: The Cookbook That Challenges Politically Correct Nutrition and the Diet Dictocrats
"Myers, Marc",How to Make Luck: Seven Secrets Lucky People Use to Succeed
"Neufeld, Gordon *",Hold On to Your Kids: Why Parents Need to Matter More Than Peers
"Newport, Cal",So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love
"Newport, Cal",Deep Work: Rules for Focused Success in a Distracted World
"Ng, Celeste *",Everything I Never Told You
"Oates, Joyce Carol",Blonde
"Obama, Barack *",Dreams from My Father: A Story of Race and Inheritance
"Obama, Barack *",A Promised Land
"Osterwalder, Alexander *",Business Model Generation
"Patterson, James *","Along Came a Spider (Alex Cross, #1)"
"Patterson, Kerry",Crucial Conversations: Tools for Talking When Stakes Are High
"Patterson, Kerry","Crucial Confrontations: Tools for Resolving Broken Promises, Violated Expectations, and Bad Behavior"
"Pausch, Randy",The Last Lecture
"Perlmutter, David",Power Up Your Brain: The Neuroscience of Enlightenment
"Perlmutter, David",Brain Maker: The Power of Gut Microbes to Heal and Protect Your Brain for Life
"Picoult, Jodi *",My Sister's Keeper
"Pink, Daniel H. *",Drive: The Surprising Truth About What Motivates Us
"Rand, Ayn",Atlas Shrugged
"Rhodes, Ben",The World As It Is: Inside the Obama White House
"Rhodes, Richard",The Making of the Atomic Bomb
"Rilke, Rainer Maria",Letters to a Young Poet
"Roberts, Gregory David",Shantaram
"Roberts, Gregory David",The Mountain Shadow
"Rosenberg, Marshall B.",Nonviolent Communication: A Language of Life
"Rosling, Hans",Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think
"Rowling, J.K.","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
"Rowling, J.K.","Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
"Ruiz Zafón, Carlos","The Shadow of the Wind (The Cemetery of Forgotten Books, #1)"
"Saint-Exupéry, Antoine de",The Little Prince
"Salinger, J.D.",The Catcher in the Rye
"Schultz, Howard",Pour Your Heart Into It: How Starbucks Built a Company One Cup at a Time
"Schwartz, David J.",The Magic of Thinking Big
"Siegel, Daniel J. *",Mindsight: The New Science of Personal Transformation
"Silver, Nate",The Signal and the Noise: Why So Many Predictions Fail—But Some Don't
"Simpson, Mona *",A Regular Guy
"Simsion, Graeme *","The Rosie Project (Don Tillman, #1)"
"Sinek, Simon *",Start with Why: How Great Leaders Inspire Everyone to Take Action
"Sinek, Simon *",Leaders Eat Last
"Smith, Wilbur","River God (Ancient Egypt, #1)"
"Smith, Wilbur","The Seventh Scroll (Ancient Egypt, #2)"
"Smith, Wilbur","Warlock (Ancient Egypt, #3)"
"Steed, J.P.",Catcher in the Rye: New Essays
"Steinbeck, John",Of Mice and Men
"Suzuki, Shunryu","Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice"
"Syed, Matthew","Bounce: Mozart, Federer, Picasso, Beckham, and the Science of Success"
"Tan, Chade-Meng","Search Inside Yourself: The Unexpected Path to Achieving Success, Happiness"
"Tolstoy, Leo",Anna Karenina
"Torvalds, Linus",Just for Fun: The Story of an Accidental Revolutionary
"Verburgh, Kris",De voedselzandloper: over afvallen en langer jong blijven
"Voss, Chris *",Never Split the Difference: Negotiating As If Your Life Depended On It
"Walls, Jeannette",The Glass Castle
"Ware, Bronnie",The Top Five Regrets of the Dying: A Life Transformed by the Dearly Departing
"Watson, James D.",The Double Helix: A Personal Account of the Discovery of the Structure of DNA
"Watson, James D.",The Double Helix
"Wells, Benedict *",Vom Ende der Einsamkeit
"Wenk, Gary L.",Your Brain on Food: How Chemicals Control Your Thoughts and Feelings
"Whitehead, Colson *",The Underground Railroad
"Wiesel, Elie","Night (The Night Trilogy, #1)"
"Wilde, Oscar",The Picture of Dorian Gray
"Williams, John",Butcher's Crossing
"Wingate, Lisa *",Before We Were Yours
"Wiseman, Richard","59 Seconds: Think a Little, Change a Lot"
"Yanagihara, Hanya *",A Little Life
"Zusak, Markus *",The Book Thief
